ticker,date,week,spread_type,K_long,K_short,entry_time,exit_time,entry_spot,exit_spot,entry_debit,exit_value,contracts,pnl,pnl_pct,exit_reason,capital_after
QQQ,2025-10-27,2025-W44,put,503,502.0,10:45,12:40,506.34,508.37,0.2251,0.0758,1,-14.93,-66.3,stop_loss,242.81
SPY,2025-10-27,2025-W44,call,612,613.0,10:20,13:10,609.42,608.42,0.2754,0.1285,1,-14.69,-53.4,stop_loss,255.66
NVDA,2025-10-27,2025-W44,put,112,111.0,10:45,15:30,114.17,111.46,0.2399,0.515,1,27.51,114.7,time_exit,307.16
NVDA,2025-11-03,2025-W45,call,112,113.0,10:15,11:00,109.62,108.2,0.2221,0.1105,1,-11.16,-50.3,stop_loss,270.13
SPY,2025-11-03,2025-W45,put,613,612.0,09:45,11:30,615.86,607.19,0.2587,0.8791,1,62.04,239.8,take_profit,358.03
NVDA,2025-11-03,2025-W45,call,111,112.0,12:35,15:30,109.07,110.5,0.2012,0.1937,1,-0.74,-3.7,time_exit,357.29
SPY,2025-11-10,2025-W46,put,606,605.0,09:45,09:55,608.95,611.52,0.2509,0.1204,1,-13.05,-52.0,stop_loss,344.24
NVDA,2025-11-10,2025-W46,call,119,120.0,10:00,11:15,116.9,115.26,0.2617,0.1221,1,-13.96,-53.4,stop_loss,301.19
SPY,2025-11-10,2025-W46,put,607,606.0,10:45,14:10,609.09,603.35,0.2908,0.8638,1,57.3,197.0,take_profit,387.57
NVDA,2025-11-17,2025-W47,put,127,126.0,10:35,12:20,129.17,130.87,0.27,0.1106,1,-15.94,-59.0,stop_loss,342.6
SPY,2025-11-17,2025-W47,call,596,597.0,12:30,13:05,593.99,592.15,0.2617,0.1104,1,-15.12,-57.8,stop_loss,327.48
QQQ,2025-11-17,2025-W47,put,505,504.0,10:35,14:20,507.35,508.1,0.2902,0.108,1,-18.23,-62.8,stop_loss,338.28
SPY,2025-11-24,2025-W48,call,616,617.0,11:10,11:45,612.89,611.02,0.2245,0.1081,1,-11.63,-51.8,stop_loss,274.57
NVDA,2025-11-24,2025-W48,put,127,126.0,10:00,12:55,129.28,130.26,0.2725,0.125,1,-14.74,-54.1,stop_loss,287.08
QQQ,2025-11-24,2025-W48,put,498,497.0,10:20,14:20,501.05,501.5,0.2482,0.0818,1,-16.64,-67.0,stop_loss,295.26
QQQ,2025-12-01,2025-W49,call,486,487.0,09:45,13:10,483.49,481.95,0.292,0.1066,1,-18.53,-63.5,stop_loss,237.04
NVDA,2025-12-01,2025-W49,call,125,126.0,10:00,13:55,122.06,122.25,0.211,0.1024,1,-10.86,-51.5,stop_loss,247.28
SPY,2025-12-01,2025-W49,put,629,628.0,11:30,15:30,632.58,629.84,0.1858,0.1949,1,0.9,4.9,time_exit,266.77
SPY,2025-12-08,2025-W50,call,641,642.0,10:40,11:25,637.25,634.6,0.2071,0.0743,1,-13.28,-64.1,stop_loss,212.1
QQQ,2025-12-08,2025-W50,call,471,472.0,09:50,12:30,467.46,465.99,0.2212,0.0805,1,-14.06,-63.6,stop_loss,220.16
NVDA,2025-12-08,2025-W50,call,151,152.0,11:10,12:45,147.46,146.18,0.1927,0.0824,1,-11.04,-57.3,stop_loss,228.39
QQQ,2025-12-15,2025-W51,put,467,466.0,10:00,12:15,470.9,471.96,0.1921,0.0877,1,-10.45,-54.4,stop_loss,197.95
SPY,2025-12-15,2025-W51,call,645,646.0,10:10,13:25,640.89,650.51,0.2,0.9186,1,71.86,359.4,take_profit,276.37
QQQ,2025-12-15,2025-W51,put,466,465.0,13:00,15:05,469.47,469.19,0.1344,0.033,1,-10.14,-75.5,stop_loss,279.67
QQQ,2025-12-22,2025-W52,call,460,461.0,11:35,12:55,456.59,455.36,0.1835,0.077,1,-10.66,-58.1,stop_loss,223.83
NVDA,2025-12-22,2025-W52,call,178,179.0,09:55,14:25,174.13,174.68,0.2378,0.1148,1,-12.3,-51.7,stop_loss,235.31
SPY,2025-12-22,2025-W52,put,658,657.0,10:20,15:20,661.73,660.02,0.214,0.0896,1,-12.44,-58.1,stop_loss,244.27
NVDA,2025-12-29,2026-W01,call,166,167.0,09:45,10:10,162.0,158.77,0.2186,0.0831,1,-13.55,-62.0,stop_loss,206.72
QQQ,2025-12-29,2026-W01,put,454,453.0,10:25,12:10,457.85,459.0,0.1798,0.0825,1,-9.73,-54.1,stop_loss,196.99
SPY,2025-12-29,2026-W01,put,666,665.0,09:45,15:30,669.49,665.41,0.2401,0.52,1,27.99,116.6,time_exit,248.98
NVDA,2026-01-05,2026-W02,put,168,167.0,11:15,13:30,171.53,172.28,0.227,0.1093,1,-11.77,-51.8,stop_loss,217.57
SPY,2026-01-05,2026-W02,call,674,675.0,10:40,14:40,669.83,670.02,0.1965,0.0493,1,-14.72,-74.9,stop_loss,222.5
SPY,2026-01-05,2026-W02,call,673,674.0,15:20,15:30,671.54,669.9,0.155,0.0156,1,-13.94,-89.9,stop_loss,208.56
QQQ,2026-01-12,2026-W03,put,494,493.0,11:30,12:05,497.26,499.33,0.2086,0.0902,1,-11.83,-56.7,stop_loss,196.73
QQQ,2026-01-12,2026-W03,call,505,506.0,12:10,12:35,500.73,499.0,0.1403,0.059,1,-8.13,-58.0,stop_loss,172.23
SPY,2026-01-12,2026-W03,put,669,668.0,12:35,14:35,672.66,672.74,0.1637,0.0624,1,-10.12,-61.8,stop_loss,178.47
NVDA,2026-01-19,2026-W04,put,133,132.0,09:55,10:15,137.46,139.26,0.1527,0.076,1,-7.67,-50.2,stop_loss,170.8
NVDA,2026-01-19,2026-W04,put,133,132.0,10:40,12:20,137.6,138.26,0.1299,0.0623,1,-6.76,-52.1,stop_loss,151.62
SPY,2026-01-19,2026-W04,put,669,668.0,11:35,15:20,674.08,666.49,0.1241,0.8529,1,72.87,587.0,take_profit,236.91
QQQ,2026-01-26,2026-W05,call,494,495.0,09:55,10:30,489.86,487.25,0.1981,0.0801,1,-11.8,-59.6,stop_loss,209.3
NVDA,2026-01-26,2026-W05,put,123,122.0,10:10,11:05,126.89,128.29,0.1581,0.0752,1,-8.28,-52.4,stop_loss,199.91
QQQ,2026-01-26,2026-W05,put,483,482.0,10:40,11:30,487.23,489.55,0.1692,0.0614,1,-10.77,-63.7,stop_loss,206.05
QQQ,2026-02-02,2026-W06,call,506,507.0,10:30,11:50,502.06,499.93,0.2022,0.0767,1,-12.55,-62.0,stop_loss,193.5
SPY,2026-02-02,2026-W06,put,663,662.0,13:30,14:15,665.93,666.81,0.1708,0.078,1,-9.28,-54.4,stop_loss,170.2
QQQ,2026-02-02,2026-W06,call,505,506.0,13:45,14:25,501.84,501.3,0.1402,0.0697,1,-7.05,-50.3,stop_loss,177.16
NVDA,2026-02-09,2026-W07,call,124,125.0,10:30,11:05,119.76,118.17,0.1221,0.0495,1,-7.26,-59.4,stop_loss,169.91
QQQ,2026-02-09,2026-W07,put,538,537.0,11:45,12:40,542.72,544.36,0.1445,0.0587,1,-8.57,-59.4,stop_loss,150.03
NVDA,2026-02-09,2026-W07,call,122,123.0,12:35,13:25,118.65,117.9,0.1131,0.0483,1,-6.47,-57.3,stop_loss,154.86
NVDA,2026-02-16,2026-W08,put,106,105.0,10:15,11:20,110.08,111.28,0.1112,0.0441,1,-6.71,-60.3,stop_loss,125.19
QQQ,2026-02-16,2026-W08,call,558,559.0,10:45,14:10,551.55,553.02,0.1116,0.052,1,-5.96,-53.4,stop_loss,130.39
SPY,2026-02-16,2026-W08,call,675,676.0,10:25,14:35,668.9,678.62,0.118,0.8687,1,75.07,636.2,take_profit,217.27
QQQ,2026-02-23,2026-W09,put,560,559.0,11:25,12:05,564.55,566.34,0.1708,0.0829,1,-8.8,-51.5,stop_loss,176.47
NVDA,2026-02-23,2026-W09,call,104,105.0,10:40,14:40,101.3,102.1,0.1714,0.0822,1,-8.93,-52.1,stop_loss,184.69
SPY,2026-02-23,2026-W09,put,662,661.0,11:55,14:50,666.29,665.44,0.1485,0.0564,1,-9.21,-62.0,stop_loss,190.33
QQQ,2026-03-02,2026-W10,call,557,558.0,10:10,11:05,551.74,549.17,0.1695,0.0648,1,-10.47,-61.8,stop_loss,164.83
NVDA,2026-03-02,2026-W10,call,103,104.0,10:10,12:15,99.89,99.3,0.1503,0.0674,1,-8.29,-55.2,stop_loss,158.67
QQQ,2026-03-02,2026-W10,call,557,558.0,11:45,14:50,551.7,560.31,0.1291,0.8519,1,72.28,560.0,take_profit,243.86
NVDA,2026-03-09,2026-W11,call,105,106.0,11:00,11:30,102.19,101.0,0.158,0.0751,1,-8.29,-52.5,stop_loss,194.22
QQQ,2026-03-09,2026-W11,put,549,548.0,09:45,11:45,553.23,555.22,0.2173,0.0911,1,-12.62,-58.1,stop_loss,203.33
SPY,2026-03-09,2026-W11,put,635,634.0,09:55,12:25,639.07,640.09,0.1962,0.0888,1,-10.74,-54.7,stop_loss,212.21
SPY,2026-03-16,2026-W12,call,632,633.0,12:10,12:25,628.23,626.49,0.1621,0.0745,1,-8.76,-54.0,stop_loss,186.62
SPY,2026-03-16,2026-W12,call,628,629.0,14:35,14:40,625.28,623.3,0.1089,0.0197,1,-8.91,-81.9,stop_loss,177.71
QQQ,2026-03-16,2026-W12,put,557,556.0,11:30,15:20,561.53,554.39,0.1683,0.849,1,68.07,404.4,take_profit,262.61
QQQ,2026-03-23,2026-W13,put,540,539.0,11:05,14:20,543.04,536.23,0.2511,0.8529,1,60.18,239.7,take_profit,284.87
NVDA,2026-03-23,2026-W13,put,120,119.0,12:50,15:15,122.06,117.95,0.2066,0.85,1,64.35,311.5,take_profit,369.87
SPY,2026-03-23,2026-W13,put,615,614.0,13:20,15:30,617.76,618.66,0.1727,0.0027,1,-16.99,-98.4,stop_loss,370.14
